Open,High,Low,Close,Volume,Dividends,Stock Splits
1756.0,1799.47998046875,1753.5,1786.5400390625,232100,0,0
1793.010009765625,1817.489990234375,1771.2099609375,1810.0,427300,0,0
1834.3800048828125,1865.8900146484375,1825.0999755859375,1855.2900390625,357800,0,0
1860.8699951171875,1872.300048828125,1844.449951171875,1871.93994140625,260300,0,0
1864.489990234375,1864.489990234375,1827.510009765625,1835.6800537109375,262000,0,0
1835.0,1874.56005859375,1830.9200439453125,1865.0,253400,0,0
1853.550048828125,1910.0,1853.550048828125,1878.9000244140625,285400,0,0
1890.0,1891.0699462890625,1848.219970703125,1867.449951171875,278400,0,0
1878.0,1915.4100341796875,1876.1500244140625,1896.510009765625,311100,0,0
1903.0799560546875,1970.1300048828125,1903.0799560546875,1931.3299560546875,450500,0,0
1928.8800048828125,1962.0,1924.6199951171875,1946.010009765625,228800,0,0
1953.1199951171875,1962.7900390625,1920.0,1953.8299560546875,195200,0,0
1949.56005859375,1949.56005859375,1882.18994140625,1906.1400146484375,334600,0,0
1901.719970703125,1916.6800537109375,1879.31005859375,1883.4100341796875,288700,0,0
1904.989990234375,1922.56005859375,1847.25,1847.4100341796875,327300,0,0
1858.780029296875,1868.239990234375,1811.7900390625,1852.6099853515625,221700,0,0
1861.31005859375,1875.0,1837.530029296875,1856.3399658203125,174700,0,0
1846.0,1898.6199951171875,1836.800048828125,1889.260009765625,239000,0,0
1883.6800537109375,1905.3199462890625,1875.0,1881.3499755859375,203900,0,0
1892.93994140625,1903.6600341796875,1871.800048828125,1878.22998046875,295100,0,0
1821.1300048828125,1857.1400146484375,1777.949951171875,1820.699951171875,383500,0,0
1827.7900390625,1862.6700439453125,1817.68994140625,1838.5899658203125,203700,0,0
1850.760009765625,1888.8399658203125,1840.9000244140625,1879.489990234375,197400,0,0
1895.0,1913.77001953125,1869.0,1886.489990234375,211900,0,0
1858.699951171875,1876.93994140625,1830.0,1869.6199951171875,236500,0,0
1842.56005859375,1844.949951171875,1755.5799560546875,1768.1500244140625,509600,0,0
1720.0,1736.02001953125,1665.0,1682.010009765625,588000,0,0
1697.3399658203125,1720.0,1648.5699462890625,1662.989990234375,371200,0,0
1665.969970703125,1696.5799560546875,1641.010009765625,1679.4000244140625,366400,0,0
1692.1500244140625,1700.3900146484375,1650.0699462890625,1667.5999755859375,254800,0,0
