,Unnamed: 0,Nombre,Precio,Var.,Max.,Min.,Fecha
32,32,SOLARIA,"13,6750",-5.17,"14,5800","13,5700",2021-09-30 22:57:58.448009
19,19,IAG,"2,0800",-3.39,"2,1780","2,0500",2021-09-30 22:57:58.399085
