,Unnamed: 0,Nombre,Precio,Var.,Max.,Min.,Fecha
22,22,INDRA A,"9,2800",1.37,"9,4500","9,2200",2021-09-30 22:57:58.410008
6,6,ARCELORMIT.,"26,4250",2.11,"26,5500","26,0300",2021-09-30 22:57:58.348738
