Date,Open,High,Low,Close,Volume,Currency
2021-09-01,5571.0,5649.5,5559.0,5602.5,18698,ARS
2021-09-02,5630.0,5826.0,5630.0,5710.0,18313,ARS
2021-09-03,5720.0,5840.0,5720.0,5750.0,9603,ARS
2021-09-06,5734.0,5770.0,5620.5,5767.5,9728,ARS
2021-09-07,5760.0,5834.0,5657.5,5761.0,18650,ARS
2021-09-08,5700.0,5780.0,5576.5,5660.0,19066,ARS
2021-09-09,5660.0,5746.5,5630.0,5690.0,21377,ARS
2021-09-10,5720.5,5795.0,5613.5,5640.0,12232,ARS
2021-09-13,5598.0,5598.0,5302.5,5530.0,19657,ARS
2021-09-14,5511.0,5578.5,5450.0,5524.0,12723,ARS
2021-09-15,5527.0,5670.0,5459.5,5648.0,12659,ARS
2021-09-16,5600.0,5707.0,5540.0,5670.0,8904,ARS
2021-09-17,5670.0,5735.0,5667.5,5672.0,12422,ARS
2021-09-20,5600.0,5679.0,5449.5,5517.0,19644,ARS
2021-09-21,5550.5,5749.5,5550.5,5739.0,20804,ARS
2021-09-22,5727.0,5930.0,5622.5,5920.0,13795,ARS
2021-09-23,5938.0,5999.5,5865.0,5974.0,10328,ARS
2021-09-24,5883.0,6000.0,5787.0,6000.0,16650,ARS
2021-09-27,5830.0,5830.0,5651.0,5723.0,24664,ARS
2021-09-28,5578.0,5578.0,5380.5,5478.5,36007,ARS
2021-09-29,5525.0,5580.0,5340.0,5410.0,21229,ARS
2021-09-30,5388.5,5495.0,5340.0,5385.5,17907,ARS
2021-10-01,5385.0,5421.5,5289.5,5385.0,19947,ARS
